직업코드,직업 대분류명,직업 중분류명,직업 소분류명,하는일,되는길,관련 전공 코드,관련 전공명,관련자격증명,임금,직업만족도,일자리전망,일자리현황,업무수행능력,지식,업무환경,성격,흥미,직업 가치관,업무활동 중요도,업무활동 수준
131201,연구직 및 공학 기술직,컴퓨터하드웨어·통신공학 기술자,통신기기·장비기술자,전기·전자기기에 관한 지식을 활용하여 민간용·산업용 무전기기를 설계·제작한다.,"통신기기기술자가 되기 위해서는 전기, 전자 및 통신관련 공학분야의 공업고등학교 또는 전문대학 이상을 졸업하는 것이 유리하다. 또한 기업에서 자격증을 필수적으로 요구하지는 않더라도, 기능사나 기사 자격증 취득은 취업에 매우 유리하다. 유능한 통신기기기술자 가 되려면 전자공학 분야와 통신 및 컴퓨터공학 분야의 폭넓은 지식을 갖추는 것이 좋다.",12/25/,전기공학과/정보·통신공학과/,"RFID관리사(국가공인 민간)/무선설비산업기사, 기사, 기능사(국가기술)/전자응용기술사(국가기술)/전파통신기능사, 산업기사, 기사(국가기술)/정보통신산업기사, 기사, 기술사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3511만원, 평균(50%) 4200만원, 상위(25%) 4973만원",70.4,증가(50%) 현상유지(30%) 감소(20%),통신기기·장비기술자,전산(92)/물적자원 관리(91)/기술 설계(88)/조직체계의 분석 및 평가(85)/인적자원 관리(84),통신(100)/공학과 기술(99)/컴퓨터와 전자공학(98)/기계(94)/산수와 수학(94),"자동화 정도(95)/이메일 이용하기(79)/연설, 발표, 회의하기(78)/이미지/평판/재정에 미치는 강도(76)/장비 속도에 보조 맞추기(75)",신뢰성(89)/꼼꼼함(84)/분석적 사고(82)/책임과 진취성(76)/혁신(75),진취형(Enterprising)(90)/탐구형(Investigative)(88),지적 추구(87)/신체활동(77)/애국(76)/성취(73)/타인에 대한 영향(64),"전자장비 유지 보수(98)/장치, 부품, 장비의 도면 작성, 배치, 지정(95)/기계장비 유지 보수(88)/새로운 지식의 습득, 활용(85)/장비, 건축물, 자재 검사(82)","전자장비 유지 보수(98)/장치, 부품, 장비의 도면 작성, 배치, 지정(95)/기계장비 유지 보수(90)/창조적 생각(84)/새로운 지식의 습득, 활용(84)"
132004,연구직 및 공학 기술직,컴퓨터시스템 전문가,정보통신컨설턴트 및 감리원,"IT분야와 관련된 컨설팅을 전문으로 하는 직종으로 해당기업의 인적, 물적 자원 및 제반조건에 관련된 자료를 수집?분석하고, 최근의 기술적 활용 자원(하드웨어 및 소프트웨어)과 현재 상태의 정보시스템과의 관계를 고려하여 해당 기업의 경영환경에 가장 적절하게 부합될 수 있는 정보시스템의 구축을 제시하고 확인(감리)한다.","정보통신컨설턴트는 기업체의 다양한 업무프로세스를 비롯해 경영 전반에 대한 파악이 전제되어야 하기 때문에 전산에 대한 지식과 기술뿐만 아니라 기업경영에 대한 지식이 필요하다. 따라서 4년제 대학교 이상의 전자공학, 컴퓨터공학, 전산학, 정보처리학 등 정보통신관련 전공뿐만 아니라 경영학, 경영정보학, 회계학 등을 전공한 후 진출하는 것도 유리하다. 특히 경영정보학과에서는 기존 경영학에 대한 이론을 비롯해 컴퓨터시스템을 경영에 응용하는데 필요한 네트워크, 데이터베이스, 프로그래밍 등 전산실무교육을 병행한다. 또한 경영대학원에서 경영정보시스템(MIS)에 대해 전문적인 교육을 받는 것도 도움이 된다. 경영학, 회계학에 대한 지식과 컴퓨터 하드웨어, 소프트웨어에 대한 충분한 이해가 필요한 직종이다.
컴퓨터시스템감리전문가로 활동하기 위해서는 전산계통 관련 전공을 하거나, 관련 자격을 취득하면 유리하다. 컴퓨터시스템감리전문가는 현장에서의 다양한 실무 경험이 뒷받침되어야 효율적인 업무를 수행할 수 있으므로 현장 경험이 무엇보다 중요하다. 양성과정에서는 정보시스템의 감사업무, 정보시스템의 관리·계획 및 조직, 기술 하부구조 및 운영실무, 정보자산의 보호, 재해복구, 응용시스템 개발·구입·구현 및 유지 보수, 업무 프로세스 평가 및 위험관리, 프로젝트 관리, 감리보고서 작성 법 등에 관련된 정보시스템 기획감리, 응용시스템 감리, 응용시스템 감리 실습, 데이터베이스 감리, 기술아키텍쳐, 보안감리, 시스템시험 및 인수감리, 운영감리, 관리기법 등의 감리활동에 필요한 내용을 전문적으로 다룬다. 컴퓨터시스템감리전문가는 시스템의 분석, 설계, 개발이 제대로 이루어지고 있는지의 여부를 판단하기 위해 컴퓨터와 전자공학에 관한 지식이 필수적이다.",25/26/22/,정보·통신공학과/정보보안·보호학과/컴퓨터공학과/,"정보관리기술사(국가기술), 전자계산기조직응용기사, 기술사(국가기술), 국제공인정보시스템감사사(CISA)(국제공인자격)/","조사년도:2021년, 임금 하위(25%) 4040만원, 평균(50%) 4750만원, 상위(25%) 5750만원",75.6,증가(70%) 현상유지(30%) 감소(0%),정보통신컨설턴트 및 감리원,인적자원 관리(98)/물적자원 관리(98)/조직체계의 분석 및 평가(98)/재정 관리(97)/협상(96),경제와 회계(93)/인사(85)/사무(84)/영어(83)/경영 및 행정(82),"앉아서 근무(91)/이메일 이용하기(83)/갈등 상황(81)/연설, 발표, 회의하기(72)/공문, 문서 주고받기(72)",리더십(87)/분석적 사고(84)/스트레스 감내성(81)/적응성/융통성(70)/성취/노력(66),관습형(Conventional)(79)/탐구형(Investigative)(47),심신의 안녕(92)/애국(82)/개인지향(78)/지적 추구(77)/이타(76),"창조적 생각(95)/컴퓨터 업무(95)/절차, 자료, 주변환경 관찰(93)/행정, 관리 업무(93)/정보 처리(92)","컴퓨터 업무(92)/창조적 생각(91)/행정, 관리 업무(90)/전자장비 유지 보수(88)/정보 처리(88)"
133202,연구직 및 공학 기술직,소프트웨어 개발자,가상현실전문가,이용자가 실제 세계와 유사한 느낌을 갖도록  3D모델링 및 VRML 등의 기술을 이용해 3차원 가상현실시스템을 개발한다.,"가상현실전문가는 대학, 전문대 또는 직업전문학교에서 컴퓨터소프트웨어나 전산, 정보처리 등을 공부한 후에 관련업체에 취업하는 것이 일반적이지만 비전공자의 경우에도 실무능력에 따라 취업과 성공이 결정되기 때문에 학력이나 전공에 상관없이 소프트웨어개발에 흥미를 갖고 독학으로 성공한 사람들도 많다. 취업하게 되면 보통 2∼3년 정도 실무경험을 쌓은 후에 본격적으로 프로그래머로서 역할을 수행하게 된다. 또한 이들에게는 디자인의 개념, 과학에 대한 기초적 지식 및 창의력, 인내력 등이 필요하며 컴퓨터프로그램을 이해하고 현실과 가상을 연결하는 노력등이 있어야 한다. 기본적으로 소프트웨어의 분석·설계·구현·테스트 등에 관한 이론적 지식과 실무 경험이 필요하다.",6/23/25/22/,사진·영상예술학과/응용소프트웨어공학과/정보·통신공학과/컴퓨터공학과/,"정보처리기사, 시각디자인기사/","조사년도:2021년, 임금 하위(25%) 3522만원, 평균(50%) 4122만원, 상위(25%) 4986만원",74.8,증가(47%) 현상유지(47%) 감소(6%),가상현실전문가,기술 분석(98)/기술 설계(98)/공간지각력(98)/조직체계의 분석 및 평가(96)/창의력(96),컴퓨터와 전자공학(98)/산수와 수학(97)/디자인(93)/공학과 기술(88)/영어(83),재택근무(99)/앉아서 근무(88)/이메일 이용하기(88)/다른 사람들을 조율하거나 이끌기(86)/다른 사람과의 상호작용(84),혁신(88)/협조(81)/분석적 사고(76)/적응성/융통성(73)/성취/노력(69),탐구형(Investigative)(90)/예술형(Artistic)(80),개인지향(96)/다양성(94)/경제적 보상(94)/성취(93)/심신의 안녕(90),"창조적 생각(98)/새로운 지식의 습득, 활용(98)/컴퓨터 업무(97)/사람들의 능력 개발, 지도(94)/업무 계획, 우선순위 결정(87)","창조적 생각(98)/새로운 지식의 습득, 활용(92)/컴퓨터 업무(91)/사람들에게 조언, 상담(89)/사람들의 능력 개발, 지도(84)"
133901,연구직 및 공학 기술직,소프트웨어 개발자,IT테스터 및 QA전문가(SW테스터),"소프트웨어 등 IT제품의 출시에 앞서 테스트하여 문제점, 보완점 등을 평가하거나 출시 제품의 품질에 대한 관리한다.",IT 관련 소프트웨어 및 프로그램 등을 테스트하여 문제점을 파악하고 보완점을 평가하기 때문에 관련 소프트웨어 등에 대한 이해가 무엇보다 중요하다. IT 개발자로 일한 경험이 있으면 큰 도움이 된다. 품질관리와 관련해서는 프로그램의 완성도를 점검하고 개선내용을 조언한다는 점에서 앞선 IT 트렌드 및 지식이 뒷받침되어야 한다.,22/,컴퓨터공학과/,"SW테스트 전문가(Certified Software Test Specialist)/SW테스트 전문가[Certified Software Test Specialist](국가공인 민간)/국제소프트웨어테스팅자격(International Software Testing Qualifications Board)/정보처리기사/정보처리기능사, 산업기사, 기사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3800만원, 평균(50%) 4144만원, 상위(25%) 5076만원",69.6,증가(48%) 현상유지(45%) 감소(6%),IT테스터 및 QA전문가(SW테스터),전산(93)/품질관리분석(93)/모니터링(Monitoring)(91)/논리적 분석(87)/수리력(86),컴퓨터와 전자공학(99)/통신(95)/사무(80)/의사소통과 미디어(79)/공학과 기술(78),"갈등 상황(93)/공문, 문서 주고받기(92)/반복적인 신체행동, 정신적 활동(92)/앉아서 근무(91)/이메일 이용하기(89)",분석적 사고(93)/꼼꼼함(92)/협조(92)/정직성(91)/신뢰성(89),관습형(Conventional)(92)/진취형(Enterprising)(64),지적 추구(77)/신체활동(76)/심신의 안녕(67)/경제적 보상(60)/다양성(50),"컴퓨터 업무(95)/창조적 생각(93)/정보 처리(88)/정보 수집(84)/새로운 지식의 습득, 활용(81)","창조적 생각(94)/컴퓨터 업무(92)/새로운 지식의 습득, 활용(87)/정보 처리(86)/정보 수집(83)"
133301,연구직 및 공학 기술직,소프트웨어 개발자,웹개발자,웹상에서 각종 자료들을 보여줄 수 있도록 웹 프로그래밍 언어를 이용하여 프로그램을 설계하고 작성한다.,"웹프로그래머로 일하려면 전문대학 및 대학교의 컴퓨터공학과, 전산학과, 인터넷(정보)공학과 등에서 웹 구축에 필요한 프로그래밍언어를 비롯해 서버, 네트워크, 데이터베이스 등에 대해 공부하거나 프로그래밍, 디자인 등으로 과정이 나누어져 있는 사설교육기관에서 강좌를 이수해 이론과 기술을 익히는 것이 좋다. 웹 기획과 개발을 위해서는 웹 언어뿐만 아니라 SQL 등의 데이터베이스는 물론 웹에디터(나모웹에디터, 드림위버), 그래픽소프트웨어(포토샵, 일러스트레이터, 플래시, 플렉스) 등의 지식과 능력을 갖추고 있으면 취업과 업무수행에 유리하다. 웹사이트를 구축하는 데 필요한 언어가 쉬워졌기 때문에 사설 교육기관을 통해서도 입직할 수 있으며 채용 시 학력보다는 경력을 우선시하기 때문에 많은 실습을 통해 경험을 쌓는 것이 중요하다.",8/1/23/22/,공학교육과/교육학과/응용소프트웨어공학과/컴퓨터공학과/,"OCP(외국)/SCJP(외국)/전자계산기조직응용기사, 기술사(국가기술)/정보처리기능사, 산업기사, 기사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3500만원, 평균(50%) 4000만원, 상위(25%) 4581만원",70.9,증가(56%) 현상유지(26%) 감소(16%),웹개발자,전산(96)/기술 설계(91)/기술 분석(87)/창의력(81)/설치(77),컴퓨터와 전자공학(97)/통신(92)/디자인(92)/산수와 수학(91)/영어(86),"앉아서 근무(93)/자동화 정도(93)/사물, 도구, 조종 장치를 다루기 위해 손사용(85)/갈등 상황(85)/이메일 이용하기(75)",분석적 사고(75)/꼼꼼함(57)/혁신(56)/인내(53)/성취/노력(51),관습형(Conventional)(77)/탐구형(Investigative)(77),신체활동(97)/지적 추구(71)/다양성(60)/애국(59)/인정(56),"컴퓨터 업무(97)/창조적 생각(92)/새로운 지식의 습득, 활용(92)/목표, 전략 수립(88)/정보 처리(86)","컴퓨터 업무(92)/새로운 지식의 습득, 활용(89)/창조적 생각(85)/목표, 전략 수립(84)/정보 처리(83)"
134401,연구직 및 공학 기술직,데이터·네트워크 및 시스템 운영 전문가,웹운영자,"웹서버 구축 및 관리, 홈페이지 운영 전반에 걸쳐 실무적인 책임을 진다.","웹마스터로 일하려면 전문대학 및 대학교의 컴퓨터공학과, 전산학과, 인터넷(정보)공학과 등에서 웹 구축에 필요한 프로그래밍언어를 비롯해 서버, 네트워크, 데이터베이스 등에 대해 공부하거나 프로그래밍, 디자인 등으로 과정이 나누어져 있는 사설교육기관에서 강좌를 이수해 이론과 기술을 익히는 것이 좋다. 웹 기획과 개발을 위해서는 웹 언어뿐만 아니라 SQL 등의 데이터베이스는 물론 웹에디터(나모웹에디터, 드림위버), 그래픽소프트웨어(포토샵, 일러스트레이터, 플래시, 플렉스) 등의 지식과 능력을 갖추고 있으면 취업과 업무수행에 유리하다. 웹사이트를 구축하는 데 필요한 언어가 쉬워졌기 때문에 사설 교육기관을 통해서도 입직할 수 있으며 채용 시 학력보다는 경력을 우선시하기 때문에 많은 실습을 통해 경험을 쌓는 것이 중요하다.",23/22/,응용소프트웨어공학과/컴퓨터공학과/,"OCP(외국)/SCJP(외국)/정보처리기능사, 산업기사, 기사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3367만원, 평균(50%) 3936.8만원, 상위(25%) 4500만원",69.8,증가(66%) 현상유지(26%) 감소(6%),웹운영자,전산(95)/기술 설계(94)/조직체계의 분석 및 평가(92)/기술 분석(89)/판단과 의사결정(88),컴퓨터와 전자공학(93)/의사소통과 미디어(71)/디자인(68)/산수와 수학(61)/사무(58),재택근무(95)/앉아서 근무(88)/이메일 이용하기(84)/다른 사람들을 조율하거나 이끌기(80)/갈등 상황(80),분석적 사고(59)/혁신(56)/적응성/융통성(44)/리더십(43)/사회성(34),관습형(Conventional)(77)/진취형(Enterprising)(68),신체활동(84)/경제적 보상(84)/인정(77)/성취(76)/지적 추구(68),"컴퓨터 업무(96)/창조적 생각(95)/정보 처리(91)/정보의 의미 해석(88)/새로운 지식의 습득, 활용(88)","창조적 생각(95)/컴퓨터 업무(93)/새로운 지식의 습득, 활용(88)/정보 처리(87)/정보의 의미 해석(85)"
134301,연구직 및 공학 기술직,데이터·네트워크 및 시스템 운영 전문가,정보시스템운영자,"정보 시스템을 안정적으로 관리·운영하고, 시스템의 성능을 최적의 상태로 유지하기 위한 제반 업무를 수행한다.","정보시스템운영자로 일하려면 각종 컴퓨터 운영체제(OS)와 OS에 탑재되는 소프트웨어 설치와 운영, 보안, 데이터베이스 등 시스템운영에 대한 지식과 기술을 기본적으로 갖춰야 한다. 전문대학 이상에서 관련 학문을 전공하거나 사설교육기관에서 관련 교육을 받고 취업하는 것이 일반적이다.",8/27/23/13/25/14/22/,공학교육과/산업공학과/응용소프트웨어공학과/전자공학과/정보·통신공학과/제어계측공학과/컴퓨터공학과/,"네트워크관리사(국가공인 민간)/리눅스마스터(국가공인 민간)/전자계산기조직응용기사, 기술사(국가기술)/정보처리기능사, 산업기사, 기사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3522만원, 평균(50%) 4300만원, 상위(25%) 5180만원",74,증가(51%) 현상유지(38%) 감소(9%),정보시스템운영자,전산(99)/조직체계의 분석 및 평가(98)/조작 및 통제(97)/기술 분석(96)/기술 설계(95),통신(98)/컴퓨터와 전자공학(94)/안전과 보안(79)/의사소통과 미디어(71)/사무(70),앉아서 근무(86)/자동화 정도(83)/전화 대화하기(80)/재택근무(78)/이메일 이용하기(76),분석적 사고(71)/신뢰성(64)/꼼꼼함(57)/자기통제(54)/리더십(46),관습형(Conventional)(81)/진취형(Enterprising)(59),개인지향(96)/신체활동(90)/다양성(75)/심신의 안녕(74)/지적 추구(64),"새로운 지식의 습득, 활용(96)/컴퓨터 업무(96)/창조적 생각(94)/정보 작성, 기록(93)/정보의 의미 해석(92)","새로운 지식의 습득, 활용(95)/컴퓨터 업무(94)/창조적 생각(93)/전자장비 유지 보수(93)/정보의 의미 해석(90)"
134303,연구직 및 공학 기술직,데이터·네트워크 및 시스템 운영 전문가,IT기술지원전문가,기술지원전문가는 시스템 사용상의 고장이나 문제가 발생했을 때 이를 원활히 해결해주고 기술적인 지원을 제공한다.,"기술지원전문가가 되기 위해서는 전문대 혹은 대학교 이상에서 컴퓨터공학이나 전자공학을 전공하는 것이 유리하다. 이들은 높은 수준의 이론적 지식을 갖추고 집중적인 현장훈련을 받아야 설계, 개발 및 기술지원 업무가 가능하며 어떤 경우이든 급속히 발전하는 신기술을 습득하고 현장에 적용하기 위해 끊임없이 연구하여야 한다. 또한 기술지원전문가가 되기 위해서는 우선 컴퓨터를 좋아해야 하고, 전기·전자·기계 분야에 흥미가 있는 것이 중요하다. 그리고 수학이나 물리, 화학 등 이과계열 과목에 적성이 있는 사람이면 유리하다. 또 복잡한 문제를 해결하기 위해 논리적이고 독창적인 사고력과 인내력을 갖고 연구하는 자세가 필요하다.",22/,컴퓨터공학과/,"네트워크관리사(국가공인 민간)/리눅스마스터(국가공인 민간)/전자계산기조직응용기사, 기술사(국가기술)/정보처리기능사, 산업기사, 기사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3358만원, 평균(50%) 3816.6만원, 상위(25%) 4224만원",68.7,증가(49%) 현상유지(26%) 감소(23%),IT기술지원전문가,가르치기(96)/재정 관리(95)/고장의 발견.수리(93)/조직체계의 분석 및 평가(90)/물적자원 관리(88),컴퓨터와 전자공학(98)/통신(82)/사무(81)/공학과 기술(74)/교육 및 훈련(72),재택근무(100)/다른 사람과의 접촉(90)/자동화 정도(87)/이메일 이용하기(85)/외부 고객 대하기(85),분석적 사고(49)/사회성(31)/적응성/융통성(31)/혁신(23)/리더십(19),관습형(Conventional)(71)/예술형(Artistic)(55),다양성(93)/신체활동(86)/인정(83)/지적 추구(79)/타인에 대한 영향(66),"창조적 생각(96)/자원 관리(94)/컴퓨터 업무(91)/새로운 지식의 습득, 활용(91)/행정, 관리 업무(90)","자원 관리(99)/사람들을 배려, 돌봄(96)/사람들에게 영향력 행사(96)/행정, 관리 업무(95)/사람들의 업무와 활동을 조직, 편성(95)"
136002,연구직 및 공학 기술직,통신·방송송출 장비 기사,방송송출장비기사,"라디오, TV, 케이블 및 유선방송을 위해 제작·편성된 프로그램을 송출하고, 송수신 장비 및 설비를 관리운용한다.","방송송출장비기사가 되기 위해 요구되는 자격이나 학력은 없다. 스튜디오나 잡지사, 광고회사에서 사원을 선발할 때에도 대부분의 고용주들은 학력보다는 창조적이고 뛰어난 상상력을 가지고 있으며 기술적인 면에서 뛰어난 사람들을 선호한다. 학원, 동아리활동, 대학에서 기술을 배워 취업을 하는 경우가 많으며, 보조업무부터 시작하여 촬영감독에 이르는 것이 일반적이다. 방송국에서 일하기 위해서는 공개채용시험에 응시하여 합격하여야 한다. 방송기술 및 방송기술 연구요원(병역특례 포함)으로 분류하고 있으며, 기본 응시자격은 남녀별로 연령제한을 두고 있으며, 남자의 경우 병역필 또는 면제자만 해당된다. 학력은 4년제 대학졸업자 또는 예정자이다. 최종시험에 합격하여 방송사에 입사하게 되면 일정기간 수습기간을 통하여 방송기술 분야에 관련된 제반업무를 익히게 된다. 방송기술직의 직능별 주요업무는 방송제작기술, 송출기술, 송신기술, 기술행정 분야 등 크게 4가지로 분류할 수 있는데 신입사원들은 수습기간 동안 이 업무에 대한 전반적인 오리엔테이션 및 소정의 연수과정을 거치게 된다. 연수과정이 끝나면 인력 운용상황을 고려하여 실무부서에 배치받게 된다.",6/25/,사진·영상예술학과/정보·통신공학과/,"무선설비기능사, 산업기사, 기사(국가기술)/방송통신기능사, 산업기사, 기사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3740만원, 평균(50%) 4477.4만원, 상위(25%) 5599만원",72.1,증가(40%) 현상유지(50%) 감소(10%),방송송출장비기사,장비의 유지(95)/조작 및 통제(93)/작동 점검(92)/장비 선정(92)/설치(91),통신(100)/컴퓨터와 전자공학(97)/공학과 기술(95)/기계(72)/물리(67),자동화 정도(95)/위험한 상태 노출(85)/장비 속도에 보조 맞추기(75)/갈등 상황(72)/실수의 심각성(71),협조(69)/신뢰성(48)/독립성(44)/혁신(42)/사회성(40),현실형(Realistic)(79)/관습형(Conventional)(57),인정(83)/경제적 보상(80)/지적 추구(79)/성취(76)/심신의 안녕(71),"전자장비 유지 보수(100)/기계장비 유지 보수(98)/장치, 부품, 장비의 도면 작성, 배치, 지정(97)/기계장치 제어(96)/차량, 기계, 장비 작동(91)","전자장비 유지 보수(99)/기계장비 유지 보수(96)/장치, 부품, 장비의 도면 작성, 배치, 지정(95)/기계장치 제어(95)/차량, 기계, 장비 작동(93)"
136001,연구직 및 공학 기술직,통신·방송송출 장비 기사,통신장비기사,"무선중계기시스템, 유선통신장비·무선통신장비, 위성통신망 등의 장비를 관리하고 운용한다.","통신장비기사가 되기 위해 필수적으로 요구되는 자격이나 학력은 없다. 보통 고졸 이상의 통신, 전자관련 학과 전공자가 유리하다. 정보통신, 전파통신 등의 관련 자격을 취득하면 취업에 유리하며, 통신이론 및 전송시스템 등의 지식을 갖추어야 한다. 업계에서는 학력보다는 기술적인 면에서 실력이나 경력을 갖춘 사람을 선호한다.",25/,정보·통신공학과/,"무선설비기능사, 산업기사, 기사(국가기술)/방송통신기능사, 산업기사, 기사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3358만원, 평균(50%) 3936.8만원, 상위(25%) 4477만원",67.8,증가(43%) 현상유지(37%) 감소(20%),통신장비기사,설치(97)/조작 및 통제(94)/고장의 발견.수리(90)/장비 선정(88)/장비의 유지(86),통신(100)/컴퓨터와 전자공학(96)/공학과 기술(76)/기계(74)/안전과 보안(69),고지대 작업(99)/위험한 상태 노출(90)/실외 근무(88)/비좁은 업무 공간(87)/극단적으로 밝거나 부적절한 조명(86),신뢰성(78)/스트레스 감내성(78)/정직성(77)/혁신(75)/분석적 사고(75),진취형(Enterprising)(70)/현실형(Realistic)(66),개인지향(65)/심신의 안녕(60)/경제적 보상(38)/고용안정(37)/타인에 대한 영향(35),"전자장비 유지 보수(98)/장비, 건축물, 자재 검사(96)/기계장비 유지 보수(96)/장치, 부품, 장비의 도면 작성, 배치, 지정(89)/기계장치 제어(88)","전자장비 유지 보수(98)/장비, 건축물, 자재 검사(96)/기계장비 유지 보수(96)/장치, 부품, 장비의 도면 작성, 배치, 지정(94)/기계장치 제어(89)"
140503,연구직 및 공학 기술직,건축·토목공학 기술자 및 시험원,교통영향평가원,"대량의 교통수요를 유발하거나 유발할 우려가 있는 사업을 시행하거나 시설을 설치할 경우 미리 당해사업의 시행 또는 시설의 설치로 인하여 발생할 교통장애 등 교통상의 각종 문제점을 검토·분석하고, 이에 대한 대책을 강구한다.","교통영향평가원이 되기 위해서는 대학에서 도시공학, 교통공학, 회계학을 전공하여 활동하는 것이 일반적이다. 그 외에 대학에서 건축학이나 조경학, 토목공학 등을 전공한 사람 중에도 도로설계 관련 과목을 이수하거나 관련 대학원에 진학하는 경우가 있다. 교통공학을 전공하면 교통류이론, 교통안전공학, 교통수요분석, 교통계획, 도로설계, 교통공학론, 교통통계학, 대중교통, 물류정보시스템, 교통정책, 교통법규, 항공 및 항만교통학, 교통조사 등을 배우게 된다. 교통정보화(지능형 교통시스템) 관련 업체, 관련 연구소, 정부기관, 도시개발공사 등에 취업할 수 있다.",14/5/23/6/,도시·지역학과/도시공학과/지리학과/지상교통공학과/,"교통 산업기사, 기사, 기술사(국가기술)/교통산업기사, 기사, 기술사(국가기술)/","조사년도:2021년, 임금 하위(25%) 3650만원, 평균(50%) 4500만원, 상위(25%) 5698만원",75.3,증가(10%) 현상유지(70%) 감소(20%),교통영향평가원,조직체계의 분석 및 평가(95)/기술 설계(90)/물적자원 관리(88)/기술 분석(88)/수리력(86),산수와 수학(99)/운송(97)/지리(97)/법(96)/건축 및 설계(94),"앉아서 근무(91)/이메일 이용하기(86)/실내 근무(76)/공문, 문서 주고받기(72)/전화 대화하기(72)",분석적 사고(93)/신뢰성(81)/협조(72)/적응성/융통성(67)/꼼꼼함(64),관습형(Conventional)(73)/탐구형(Investigative)(43),경제적 보상(89)/애국(87)/지적 추구(82)/개인지향(78)/성취(76),"절차, 자료, 주변환경 관찰(98)/사물, 행동, 사건 파악(98)/정보의 의미 해석(98)/제품, 사건, 정보의 수치 추정(97)/정보, 자료 분석(97)","절차, 자료, 주변환경 관찰(98)/목표, 전략 수립(98)/제품, 사건, 정보의 수치 추정(98)/정보, 자료 분석(97)/사물, 행동, 사건 파악(97)"
140305,연구직 및 공학 기술직,건축·토목공학 기술자 및 시험원,토목안전·환경·품질기술자,"건설현장에서 작업원의 안전과 건설재해요인 예측, 재해예방 등을 위하여 각종 설비의 안전성 확보 및 안전관리를 위한 제반 업무를 수행한다.","토목안전환경기술자가 되기 위해서는 대학교(4년제)나 전문대학(2~3년제)에서 토목(공)학이나 토목안전환경공학 관련 학과에서 교육을 받은 후 관련 분야로 취업을 하는 것이 일반적이다. 드물지만 특성화고등학교나 3년제 고등기술학교, 직업전문학교 등에서 토목을 전공한 후에 현장경력을 쌓아 토목공학기술자로 성장하는 경우도 있다.
대학교 토목안전환경공학과에서는 정역학, 측량학, 토질역학, 건설재료 및 시험, 하수도공학, 철근콘크리트공학, 토목시공학, 건설관리 및 장비공학 등의 토목공학 관련 학문 외에 안전 관련 학문(안전관리학, 인간공학실험 및 설계, 화공안전공학 및 실험, 안전진단 및 실험, 건설가설공학, 건설시공 및 안전 등)과 환경 관련 학문(대기오염론, 대기오염방지기술, 폐기물처리공학, 환경화학, 수질관리, 폐수처리공학 등)을 배운다.
토목안전환경기술자는 건설회사나 토목엔지니어링회사, 토목감리전문업체 외에 환경시설업체나 환경관련 연구소에 취업할 수 있고, 일반 산업현장이나 제조업체에서 산업안전관리자로 활동하기도 한다. 중앙부처나 지방자치단체의 기술직 공무원이 되거나 석·박사 학위를 취득한 후 토목 관련 연구기관에서 연구원으로 활동하기도 하고 대학교수로 진출할 수도 있다.
관련 자격으로 토목기사/산업기사, 토목품질시험기술사, 건설재료시험기사/산업기사/기능사, 건설안전기술사/기사/산업기사, 건축품질시험기술사, 산업안전기사/산업기사, 대기관리기술사, 대기환경기사/산업기사, 소음진동기술사/기사/산업기사, 수질관리기술사, 수질환경기사/산업기사, 토양환경기술사/기사, 폐기물처리기술사/기사/산업기사, 환경기능사(이상 한국산업인력공단) 등이 있다. 취업 시 자격 취득 여부가 실제 필수 요건으로 작용하며, 공공기관이나 기술직 공무원 시험에서는 가산점을 받을 수 있다. ",2/4/,건축·설비공학과/토목공학과/,건설기계기술사(국가기술)/농어업토목기술사(국가기술)/도로 및 공항 기술사(국가기술)/산림토목기술자(국가전문)/항만및해안기술사(국가기술)/,"조사년도:2021년, 임금 하위(25%) 4020만원, 평균(50%) 4921만원, 상위(25%) 5600만원",72.4,증가(13%) 현상유지(37%) 감소(50%),토목안전·환경·품질기술자,기술 설계(97)/기술 분석(93)/공간지각력(91)/장비 선정(91)/조직체계의 분석 및 평가(90),건축 및 설계(100)/공학과 기술(97)/안전과 보안(97)/물리(95)/산수와 수학(91),"사람들과 직접 접촉(85)/이메일 이용하기(85)/공문, 문서 주고받기(82)/전화 대화하기(81)/실외 근무(79)",책임과 진취성(79)/분석적 사고(78)/리더십(74)/협조(63)/혁신(58),관습형(Conventional)(86)/진취형(Enterprising)(53),성취(76)/다양성(75)/애국(67)/심신의 안녕(64)/고용안정(64),"제품, 사건, 정보의 수치 추정(99)/장치, 부품, 장비의 도면 작성, 배치, 지정(98)/사람들의 능력 개발, 지도(96)/기준에 따른 정보 평가(95)/장비, 건축물, 자재 검사(95)","제품, 사건, 정보의 수치 추정(98)/장치, 부품, 장비의 도면 작성, 배치, 지정(97)/사람들의 능력 개발, 지도(97)/장비, 건축물, 자재 검사(97)/협상, 갈등 해결(96)"
